id,dataset,heuristic_type,heuristic,is_baseline,population,burn_in,replay,reselection,reanalysis,normalisation,credit,discounted_rewards,run,step,train_loss,train_accuracy,test_loss,test_accuracy,rank
4b08c055-2b19-4410-ad2e-bb435b631cc9,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,0,3.4682002,0.038311884,3.4579248,0.04186603,1
ed8f9396-364e-4e45-aacb-e1d0ca197d8a,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,0,3.4640377,0.038311884,3.4745626,0.04186603,2
e41e2780-7b22-479a-963f-85892d5743f1,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,1,2.5174782,0.18647112,2.364662,0.17942584,1
814a98b9-3124-4cf8-8204-9e52fdb4705e,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,1,2.4654462,0.2068243,2.6421266,0.21411483,2
8e69d048-a1de-49df-bfd1-9270c79b20c0,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,2,2.3800473,0.2325651,2.4450095,0.23205742,1
e1324926-5447-40b3-8f56-a18cbd12a6fe,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,2,2.3322632,0.2092188,2.9625769,0.20095694,2
8e8dffd8-b59f-4d02-99ca-8f0878ef2003,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,3,2.3800476,0.2325651,2.4450095,0.23205742,1
e95808f8-d4e2-4138-9a99-8db988b32df0,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,3,2.3063169,0.24094583,2.902009,0.19736843,2
963aebd4-e5a9-416a-a6b9-5aa97e1a1ce7,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,4,2.3800478,0.2325651,2.4450095,0.23205742,1
db33a1fa-622f-4b58-abd8-a4f78c96d9b3,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,4,2.1006007,0.2556121,3.0443249,0.19856459,2
9fcf78da-229a-420c-b626-068d3e120bf0,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,5,2.03759,0.26459143,2.172724,0.22129187,1
