Average of train_loss,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,adadelta,adagrad,adam,bhh,bhh_gd_only,de,ga,momentum,nag,pso,rmsprop,sgd,,step,adadelta,adagrad,adam,bhh,bhh_gd_only,de,ga,momentum,nag,pso,rmsprop,sgd
16,0.691666672,0.884166676,0.970833321,0.956499993,0.952416659,0.859166671,0.853333335,0.673333337,0.930833336,0.979166674,0.970833321,0.696666673,,16,0.691666672,0.884166676,0.970833321,0.956499993,0.952416659,0.859166671,0.853333335,0.673333337,0.930833336,0.979166674,0.970833321,0.696666673
17,0.694166668,0.885833342,0.969999985,0.958583326,0.952499989,0.857499994,0.848333345,0.678333332,0.928333338,0.983333349,0.97249999,0.695833342,,17,0.694166668,0.885833342,0.969999985,0.958583326,0.952499989,0.857499994,0.848333345,0.678333332,0.928333338,0.983333349,0.97249999,0.695833342
18,0.702499999,0.885833342,0.970833321,0.960833326,0.953333323,0.860833332,0.858333327,0.684166676,0.931666672,0.98166668,0.97083332,0.695000009,,18,0.702499999,0.885833342,0.970833321,0.960833326,0.953333323,0.860833332,0.858333327,0.684166676,0.931666672,0.98166668,0.97083332,0.695000009
19,0.704999992,0.885833342,0.970833321,0.961999994,0.952166658,0.855833341,0.855833327,0.685833341,0.933333336,0.985000015,0.970833319,0.695833342,,19,0.704999992,0.885833342,0.970833321,0.961999994,0.952166658,0.855833341,0.855833327,0.685833341,0.933333336,0.985000015,0.970833319,0.695833342
20,0.705000001,0.885833342,0.971666657,0.962083329,0.950499993,0.845833342,0.841666666,0.685833341,0.933333336,0.978333333,0.971666657,0.697500013,,20,0.705000001,0.885833342,0.971666657,0.962083329,0.950499993,0.845833342,0.841666666,0.685833341,0.933333336,0.978333333,0.971666657,0.697500013
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Average of test_loss,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,adadelta,adagrad,adam,bhh,bhh_gd_only,de,ga,momentum,nag,pso,rmsprop,sgd,,step,adadelta,adagrad,adam,bhh,bhh_gd_only,de,ga,momentum,nag,pso,rmsprop,sgd
0,1.334268455,1.42886615,1.354344847,1.390454075,1.374173739,1.461920115,1.36691867,1.317081864,1.41326053,1.317595504,1.35524022,1.436629696,,0,1.334268455,1.42886615,1.354344847,1.390454075,1.374173739,1.461920115,1.36691867,1.317081864,1.41326053,1.317595504,1.35524022,1.436629696
1,1.0857652,0.686887743,0.468882391,0.657508058,0.534226264,0.840658649,0.931877594,1.078860374,0.968609598,0.526588839,0.420835777,1.063636635,,1,1.0857652,0.686887743,0.468882391,0.657508058,0.534226264,0.840658649,0.931877594,1.078860374,0.968609598,0.526588839,0.420835777,1.063636635
2,1.0774185,0.535162553,0.29639266,0.384977806,0.402892123,0.62698321,0.868559502,1.06324618,0.764136078,0.399096616,0.287481386,1.03230817,,2,1.0774185,0.535162553,0.29639266,0.384977806,0.402892123,0.62698321,0.868559502,1.06324618,0.764136078,0.399096616,0.287481386,1.03230817
3,1.069054776,0.474185597,0.208837701,0.34760447,0.317650761,0.632325704,0.811775226,1.0457669,0.581031224,0.375807331,0.236239453,1.003656726,,3,1.069054776,0.474185597,0.208837701,0.34760447,0.317650761,0.632325704,0.811775226,1.0457669,0.581031224,0.375807331,0.236239453,1.003656726
4,1.06013412,0.444116429,0.173790963,0.301276911,0.30381272,0.640487945,0.711109085,1.028817853,0.456657051,0.265845716,0.186176487,0.977632307,,4,1.06013412,0.444116429,0.173790963,0.301276911,0.30381272,0.640487945,0.711109085,1.028817853,0.456657051,0.265845716,0.186176487,0.977632307
5,1.050673747,0.425614087,0.126421722,0.270794195,0.284717894,0.577452282,0.686507564,1.01320727,0.383541232,0.291702976,0.161438989,0.954563165,,5,1.050673747,0.425614087,0.126421722,0.270794195,0.284717894,0.577452282,0.686507564,1.01320727,0.383541232,0.291702976,0.161438989,0.954563165
6,1.04039712,0.410773759,0.107187883,0.256352118,0.267919948,0.590818869,0.62171527,0.999076766,0.33741854,0.224483661,0.142111801,0.934612189,,6,1.04039712,0.410773759,0.107187883,0.256352118,0.267919948,0.590818869,0.62171527,0.999076766,0.33741854,0.224483661,0.142111801,0.934612189
7,1.029156755,0.401360341,0.102171287,0.243210784,0.256358504,0.581181841,0.594970007,0.986354693,0.306372115,0.204141338,0.126928517,0.917505778,,7,1.029156755,0.401360341,0.102171287,0.243210784,0.256358504,0.581181841,0.594970007,0.986354693,0.306372115,0.204141338,0.126928517,0.917505778
8,1.016747869,0.393813698,0.102003847,0.222079225,0.239686956,0.524194148,0.571414962,0.975101503,0.287249604,0.221518829,0.121915132,0.903025609,,8,1.016747869,0.393813698,0.102003847,0.222079225,0.239686956,0.524194148,0.571414962,0.975101503,0.287249604,0.221518829,0.121915132,0.903025609
9,1.002858766,0.387661389,0.095873458,0.233529341,0.235004775,0.605850918,0.541451086,0.96526394,0.273238653,0.157611042,0.112989287,0.890924573,,9,1.002858766,0.387661389,0.095873458,0.233529341,0.235004775,0.605850918,0.541451086,0.96526394,0.273238653,0.157611042,0.112989287,0.890924573
10,0.98764058,0.383291948,0.088986688,0.218265792,0.219894549,0.614816551,0.514314315,0.956776611,0.262158201,0.15327995,0.105399982,0.880840408,,10,0.98764058,0.383291948,0.088986688,0.218265792,0.219894549,0.614816551,0.514314315,0.956776611,0.262158201,0.15327995,0.105399982,0.880840408
11,0.970653084,0.379671824,0.084949091,0.208889139,0.220441122,0.412946541,0.501230505,0.949511445,0.253178336,0.183614736,0.104028496,0.87238497,,11,0.970653084,0.379671824,0.084949091,0.208889139,0.220441122,0.412946541,0.501230505,0.949511445,0.253178336,0.183614736,0.104028496,0.87238497
12,0.952028001,0.376933596,0.081398847,0.218615806,0.21073018,0.559820132,0.484856136,0.943278444,0.245358852,0.18924862,0.101247714,0.865365585,,12,0.952028001,0.376933596,0.081398847,0.218615806,0.21073018,0.559820132,0.484856136,0.943278444,0.245358852,0.18924862,0.101247714,0.865365585
13,0.932098181,0.374799953,0.080463798,0.210875181,0.210632103,0.429714792,0.477010715,0.937983035,0.239108723,0.170546339,0.099893509,0.859577763,,13,0.932098181,0.374799953,0.080463798,0.210875181,0.210632103,0.429714792,0.477010715,0.937983035,0.239108723,0.170546339,0.099893509,0.859577763
14,0.910855263,0.373073109,0.080906438,0.195168322,0.20275261,0.56668336,0.453795849,0.933522781,0.2341176,0.095791129,0.099034229,0.854756543,,14,0.910855263,0.373073109,0.080906438,0.195168322,0.20275261,0.56668336,0.453795849,0.933522781,0.2341176,0.095791129,0.099034229,0.854756543
15,0.888840217,0.371684712,0.081165429,0.182237275,0.196884116,0.483729274,0.460998971,0.929731912,0.22996505,0.098788288,0.097419622,0.850768222,,15,0.888840217,0.371684712,0.081165429,0.182237275,0.196884116,0.483729274,0.460998971,0.929731912,0.22996505,0.098788288,0.097419622,0.850768222
16,0.866604853,0.370577936,0.08128271,0.18499273,0.199237361,0.424285553,0.450774635,0.926547616,0.226575132,0.219009588,0.095843242,0.847442905,,16,0.866604853,0.370577936,0.08128271,0.18499273,0.199237361,0.424285553,0.450774635,0.926547616,0.226575132,0.219009588,0.095843242,0.847442905
17,0.844622923,0.369674382,0.08095661,0.175961371,0.195601375,0.432334196,0.45741957,0.923883645,0.223628306,0.165499406,0.094899112,0.844687946,,17,0.844622923,0.369674382,0.08095661,0.175961371,0.195601375,0.432334196,0.45741957,0.923883645,0.223628306,0.165499406,0.094899112,0.844687946
18,0.823151589,0.368906076,0.080534412,0.168092889,0.196743984,0.429388956,0.44309527,0.921650604,0.2214365,0.156049702,0.093647895,0.84240004,,18,0.823151589,0.368906076,0.080534412,0.168092889,0.196743984,0.429388956,0.44309527,0.921650604,0.2214365,0.156049702,0.093647895,0.84240004
19,0.802420082,0.368314889,0.080510093,0.167774979,0.206302874,0.463610744,0.442544725,0.919788991,0.219473357,0.172256527,0.093031155,0.840511559,,19,0.802420082,0.368314889,0.080510093,0.167774979,0.206302874,0.463610744,0.442544725,0.919788991,0.219473357,0.172256527,0.093031155,0.840511559
20,0.782747663,0.367825111,0.079371742,0.162431998,0.201604758,0.454485544,0.442057748,0.918242479,0.217876219,0.212279792,0.092791574,0.838934367,,20,0.782747663,0.367825111,0.079371742,0.162431998,0.201604758,0.454485544,0.442057748,0.918242479,0.217876219,0.212279792,0.092791574,0.838934367
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Average of test_accuracy,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,adadelta,adagrad,adam,bhh,bhh_gd_only,de,ga,momentum,nag,pso,rmsprop,sgd,,step,adadelta,adagrad,adam,bhh,bhh_gd_only,de,ga,momentum,nag,pso,rmsprop,sgd
0,0.436666668,0.380000001,0.410000007,0.40466667,0.41566667,0.380000011,0.42666667,0.430000008,0.400000002,0.430000005,0.406666666,0.383333336,,0,0.436666668,0.380000001,0.410000007,0.40466667,0.41566667,0.380000011,0.42666667,0.430000008,0.400000002,0.430000005,0.406666666,0.383333336
1,0.330000004,0.763333333,0.79,0.732666667,0.741,0.59333334,0.616666678,0.363333336,0.636666675,0.743333345,0.836666672,0.436666668,,1,0.330000004,0.763333333,0.79,0.732666667,0.741,0.59333334,0.616666678,0.363333336,0.636666675,0.743333345,0.836666672,0.436666668
2,0.346666673,0.786666655,0.863333338,0.823333331,0.821333334,0.676666679,0.676666668,0.399999999,0.716666663,0.856666663,0.860000004,0.579999998,,2,0.346666673,0.786666655,0.863333338,0.823333331,0.821333334,0.676666679,0.676666668,0.399999999,0.716666663,0.856666663,0.860000004,0.579999998
3,0.363333339,0.819999995,0.896666662,0.84533333,0.868666668,0.676666672,0.636666665,0.42333334,0.763333341,0.886666673,0.903333328,0.610000006,,3,0.363333339,0.819999995,0.896666662,0.84533333,0.868666668,0.676666672,0.636666665,0.42333334,0.763333341,0.886666673,0.903333328,0.610000006
4,0.403333344,0.83333333,0.926666668,0.877666666,0.877333334,0.700000005,0.706666664,0.473333335,0.80333334,0.893333338,0.943333326,0.63666667,,4,0.403333344,0.83333333,0.926666668,0.877666666,0.877333334,0.700000005,0.706666664,0.473333335,0.80333334,0.893333338,0.943333326,0.63666667
5,0.450000007,0.83,0.963333322,0.88866667,0.883333329,0.69000001,0.680000004,0.526666672,0.826666665,0.893333326,0.939999994,0.636666672,,5,0.450000007,0.83,0.963333322,0.88866667,0.883333329,0.69000001,0.680000004,0.526666672,0.826666665,0.893333326,0.939999994,0.636666672
