dataset,heuristic_type,heuristic,is_baseline,population,burn_in,replay,reselection,reanalysis,normalisation,credit,discounted_rewards,run,step,train_loss,train_accuracy,test_loss,test_accuracy
iris,standalone,pso,,,,,,,,,,5,20,0.043555107,0.9916667,0.23382878,0.96666664
iris,standalone,adam,,,,,,,,,,5,20,0.0876378,0.96666664,0.06963364,1.0
iris,standalone,adadelta,,,,,,,,,,5,20,0.7751926,0.65833336,0.80007786,0.73333335
iris,bhh,bhh_gd_only,true,5,0,10,1,1,true,gbest,true,5,20,0.16433256460000004,0.944166662,0.196767751,0.933333326
iris,bhh,bhh,true,5,0,10,1,1,true,gbest,true,5,20,0.0953131493,0.96833332600000011,0.15254510320000003,0.943333322
iris,standalone,ga,,,,,,,,,,6,20,0.40523446,0.84166664,0.436444,0.8666667
iris,standalone,rmsprop,,,,,,,,,,6,20,0.07778625,0.975,0.14871004,0.9
iris,standalone,momentum,,,,,,,,,,6,20,1.0440191,0.6333333,1.030916,0.76666665
iris,standalone,nag,,,,,,,,,,6,20,0.22335036,0.95,0.19931637,0.96666664
iris,standalone,adagrad,,,,,,,,,,6,20,0.30374,0.9166667,0.2859265,0.9
iris,standalone,sgd,,,,,,,,,,6,20,0.9779186,0.65,0.96390176,0.73333335
iris,standalone,de,,,,,,,,,,6,20,0.31819588,0.8666667,0.50073487,0.76666665
iris,standalone,pso,,,,,,,,,,6,20,0.045955595,0.975,0.78307396,0.9
iris,standalone,adam,,,,,,,,,,6,20,0.06749675,0.975,0.03852934,1.0
iris,standalone,adadelta,,,,,,,,,,6,20,0.62764347,0.65833336,0.5520543,0.7
iris,bhh,bhh_gd_only,true,5,0,10,1,1,true,gbest,true,6,20,0.16181052,0.958333321,0.1646104105,0.953333326
iris,bhh,bhh,true,5,0,10,1,1,true,gbest,true,6,20,0.1000654661,0.969166668,0.16313675610000003,0.936666652
iris,standalone,ga,,,,,,,,,,7,20,0.49097732,0.78333336,0.41565913,0.8333333
iris,standalone,rmsprop,,,,,,,,,,7,20,0.05645136,0.98333335,0.0989544,0.96666664
iris,standalone,momentum,,,,,,,,,,7,20,0.81935996,0.73333335,0.91384226,0.56666666
iris,standalone,nag,,,,,,,,,,7,20,0.26495597,0.9166667,0.19418974,1.0
iris,standalone,adagrad,,,,,,,,,,7,20,0.36678755,0.85833335,0.28669378,0.93333334
iris,standalone,sgd,,,,,,,,,,7,20,0.69685584,0.78333336,0.9102837,0.6333333
iris,standalone,de,,,,,,,,,,7,20,0.18130936,0.96666664,0.28115666,0.9
iris,standalone,pso,,,,,,,,,,7,20,0.09602676,0.96666664,0.022940766,1.0
iris,standalone,adam,,,,,,,,,,7,20,0.09259922,0.96666664,0.044563245,1.0
iris,standalone,adadelta,,,,,,,,,,7,20,0.81024224,0.59166664,0.7634866,0.6333333
iris,bhh,bhh_gd_only,true,5,0,10,1,1,true,gbest,true,7,20,0.156698398,0.955833327,0.224915395,0.92333332
iris,bhh,bhh,true,5,0,10,1,1,true,gbest,true,7,20,0.1067557035,0.964999992,0.17409264549999998,0.93666667
iris,standalone,ga,,,,,,,,,,8,20,0.3926809,0.8666667,0.3783984,0.8333333
iris,standalone,rmsprop,,,,,,,,,,8,20,0.055991013,0.975,0.08873002,0.96666664
iris,standalone,momentum,,,,,,,,,,8,20,0.844228,0.6666667,0.81287056,0.6666667
iris,standalone,nag,,,,,,,,,,8,20,0.18652678,0.94166666,0.13850763,1.0
iris,standalone,adagrad,,,,,,,,,,8,20,0.25923002,0.94166666,0.2863929,0.9
iris,standalone,sgd,,,,,,,,,,8,20,0.74042404,0.775,0.63793683,0.8333333
iris,standalone,de,,,,,,,,,,8,20,0.37708426,0.8,0.43198052,0.7
iris,standalone,pso,,,,,,,,,,8,20,0.1065356,0.9583333,0.42623472,0.8666667
iris,standalone,adam,,,,,,,,,,8,20,0.07535529,0.9583333,0.067047924,1.0
iris,standalone,adadelta,,,,,,,,,,8,20,0.68160886,0.675,0.6957724,0.6333333
iris,bhh,bhh_gd_only,true,5,0,10,1,1,true,gbest,true,8,20,0.184732537,0.945833328,0.212441918,0.92333333999999989
iris,bhh,bhh,true,5,0,10,1,1,true,gbest,true,8,20,0.092842221600000011,0.971666659,0.14750016653999998,0.946666658
iris,standalone,ga,,,,,,,,,,9,20,0.36452216,0.8666667,0.4915151,0.73333335
iris,standalone,rmsprop,,,,,,,,,,9,20,0.08786853,0.96666664,0.07868637,1.0
iris,standalone,momentum,,,,,,,,,,9,20,1.0378565,0.575,1.0622089,0.3
iris,standalone,nag,,,,,,,,,,9,20,0.21600227,0.925,0.2672717,0.93333334
